myID,id_code,heirarchy,gear_type,landingSite
1,M1,10.1,1,1
2,M2,9.1,1,1
3,M3,8.1,2,1
4,M4,7.1,1,1
5,M5,6.1,2,1
6,M6,5.1,2,1
7,M7,4.1,2,1
8,M8,3.1,3,2
9,M9,2.1,3,2
10,M10,1.1,1,2
